,反应物,生成物
1033,x Cu + 1-x Fe ,1 Fe1-xCux
1034,x*y Au + x*(1-y) Cu + 1-x Fe ,1 Fe1-x(Cu1-yAuy)x
1035,1 TeO2 + 1 TlF ,1 TeO2-TlF
1036,1 Tl2Te3O7 + 1 TlF ,1 Tl2Te3O7-TlF
1037,1 TeO2 + 1 TlF ,1 TeO2-TlF
1038,1 Tl2Te3O7 + 1 TlF ,1 Tl2Te3O7-TlF
1039,1 La2O3 + 2 TiO2 ,1 La2Ti2O7
1040,0.25 O2 + 1 RuO2 + 2 SrCO3 + 0.5 Y2O3 ,1 Sr2YRuO6 + 2 CO2
1041,0.5 Er2O3 + 0.25 O2 + 1 RuO2 + 2 SrCO3 ,1 Sr2ErRuO6 + 2 CO2
1042,1 Al + 2 C + 3 Ti ,1 Ti3AlC2
1043,0.25 O2 + 1 RuO2 + 2 SrCO3 + 0.5 Y2O3 ,1 Sr2YRuO6 + 2 CO2
1044,0.5 Er2O3 + 0.25 O2 + 1 RuO2 + 2 SrCO3 ,1 Sr2ErRuO6 + 2 CO2
1045,1 MgO + 1 NiO ,1 NiO-MgO
1046,20 CuO + 40 Mn2O3 ,1 Cu20Mn80O + 69.5 O2
1047,0.5 Na2CO3 + 0.5 Ta2O5 ,1 NaTaO3 + 0.5 CO2 ; target NaTaO3 with additives La via La2O3 ; target NaTaO3 with additives La via La2O3
1048,1 TiO2 + 1 ZrO2 ,1 TiO2-ZrO2
1049,1 Co + 3 Sb ,1 CoSb3
1050,x CuO + 0.5 La2O3 + 0.333-0.333*x Mn3O4 + 0.083+0.167*x O2 ,1 LaMn1-xCuxO3
1051,1 SrCO3 + 1 TiO2 ,1 SrTiO3 + 1 CO2
1052,0.5 Li2CO3 + 1.5 MnO2 + 0.5 NiO ,1 LiNi0.5Mn1.5O4 + 0.5 CO2
1053,5 Al(NO3)3\u00b79H2O + 3 Y(NO3)3\u00b75H2O + 24 [OH-] ,1 Y3Al5O12 + 72 H2O + 24 [NO3-] ; target Y3Al5O12 with additives Er via Er(NO3)3\u00b75H2O ; target Y3Al5O12 with additives Er via Er(NO3)3\u00b75H2O
1054,6 Na2CO3 + 6 TiO2 ,1 Na12(TiO3)6 + 6 CO2
1055,1 Na2CO3 + 6 TiO2 ,1 Na2Ti6O13 + 1 CO2
1056,6 Na2CO3 + 6 TiO2 ,1 Na12(TiO3)6 + 6 CO2
1057,1 Na2CO3 + 6 TiO2 ,1 Na2Ti6O13 + 1 CO2
1058,0.7-x Ba(CH3COO)2 + x Mn(CH3COO)2 + 8 O2 + 0.3 Sr(CH3COO)2\u00b70.5H2O + 1 Ti(OC4H9)4 + 10 [OH-] ,1 Ba0.7-xSr0.3MnxTiO3 + 11.15 H2O + 10 [CH3COO-]
1059,-0.023 Al2O3+2SiO2+15C + 1.023 Al4Si2C5+10CO + -11.326 C ,1 Al4Si2C5
1060,0.3 AgNO3\u00b7H2O + 0.7 La(NO3)3\u00b76H2O + 1 Mn(CH3COO)2\u00b74H2O + 0.4 O2 + 4.4 [OH-] ,1 La0.7Ag0.3MnO3 + 10.7 H2O + 2 [CH3COO-] + 2.4 [NO3-]
1061,10 Al2O3 + 25 BaCO3 + 30 H3BO3 + 1 Sb2O3 + 49 SiO2 ,1 49SiO2-15B2O3-10Al2O3-25BaO-Sb2O3 + 25 CO2 + 45 H2O
1062,0.04 O2 + 0.08 Y2O3 + 0.84 ZrO2 ,1 Zr0.84Y0.16O2
1063,1 Al2O3 + 1 MoSi2 ,1 Al2O3-MoSi2
1064,0.8 BaCO3 + 0.2 SrCO3 + 1 TiO2 ,1 (Ba0.8Sr0.2)TiO3 + 1 CO2
1065,0.5 Bi2O3 + 0.5 Nb2O5 ,1 BiNbO4
1066,1 CaO + 0.5 Cr2O3 + 0.75 O2 ,1 CaCrO4
1067,2 (NH4)2HPO4 + 1 CaO ,1 Ca(PO3)2 + 3 H2O + 4 NH3
1068,3 (NH4)2HPO4 + 0.5 Cr2O3 ,1 Cr(PO3)3 + 4.5 H2O + 6 NH3
1069,1 Al2O3 + 1 TiO2 ,1 Al2TiO5
1070,5 Al(NO3)3 + 3 Fe(NO3)3 + 24 [OH-] ,1 Fe3Al5O12 + 12 H2O + 24 [NO3-]
1071,2 Al(NO3)3\u00b79H2O + 1 Ba(NO3)2 + 8 [OH-] ,1 BaAl2O4 + 22 H2O + 8 [NO3-]
1072,1 Co + 3 Sb ,1 CoSb3
1073,7 (NH4)2HPO4 + 9 CaCO3 + 0.5 Y2O3 ,"1 Ca9Y(PO4)7 + 9 CO2 + 10.5 H2O + 14 NH3 ; target Ca9Y(PO4)7 with additives Eu, Mn via Eu2O3, MnO ; target Ca9Y(PO4)7 with additives Eu, Mn via Eu2O3, MnO"
1074,1 BaCO3 + 0.5 Bi2O3 + 0.25 O2 ,1 BaBiO3 + 1 CO2
1075,0.6 BaCO3 + 0.5 Bi2O3 + 0.4 KO2 + 0.05 O2 ,1 Ba0.6K0.4BiO3 + 0.6 CO2
1076,1 BaCO3 + 0.5 Bi2O3 + 0.25 O2 ,1 BaBiO3 + 1 CO2
1077,0.6 BaCO3 + 0.5 Bi2O3 + 0.4 KO2 + 0.05 O2 ,1 Ba0.6K0.4BiO3 + 0.6 CO2
1078,-0.2 Al + -x Ni + 1.5 O2 + -7 Si + 2 SiY ,1 Ni-xSi-5Al-0.2Y2O3
1079,1 Co + 2 Fe + 2 O2 ,1 CoFe2O4
1080,0.4 Ga2O3 + 0.45 La2O3 + 0.2 Mg(NO3)2 + 0.075 O2 + 0.1 Sr(NO3)2 + 0.6 [OH-] ,1 La0.9Sr0.1Ga0.8Mg0.2O3 + 0.3 H2O + 0.6 [NO3-]
1081,2 Co(CH3COO)2\u00b74H2O + 0.5 Li2CO3 + 0.5-x Mn(CH3COO)2\u00b74H2O + 0.5-x Ni(CH3COO)2\u00b74H2O + 5.125-3.5*x [OH-] ,1 LiNi0.5-xMn0.5-xCo2 + 2.25-x CO2 + 15.875-10.5*x H2O + 5.125-3.5*x [CH3COO-]
1082,0.333 Co(CH3COO)2\u00b74H2O + 1 LiCH3COO\u00b72H2O + 0.333 Mn(CH3COO)2\u00b74H2O + 0.333 Ni(CH3COO)2\u00b74H2O + 0.25 O2 + 2.998 [OH-] ,1 Li(Ni1/3Mn1/3Co1/3)O2 + 7.495 H2O + 2.998 [CH3COO-]
1083,1 Mn(NO3)2\u00b74H2O + 1 Ni(NO3)2\u00b76H2O + 4 [OH-] ,1 NiMn(OH)4 + 10 H2O + 4 [NO3-]
1084,0.04 LiOH + 0.96 Ni(NO3)2\u00b76H2O + 0.01 O2 + 1.92 [OH-] ,1 Li0.04Ni0.96O + 6.74 H2O + 1.92 [NO3-]
1085,1 Mn(NO3)2\u00b74H2O + 1 Ni(NO3)2\u00b76H2O + 4 [OH-] ,1 NiMn(OH)4 + 10 H2O + 4 [NO3-]
1086,0.04 LiOH + 0.96 Ni(NO3)2\u00b76H2O + 0.01 O2 + 1.92 [OH-] ,1 Li0.04Ni0.96O + 6.74 H2O + 1.92 [NO3-]
1087,1 CH3COOLi\u00b72H2O + 2-x Mn(CH3COO)2\u00b74H2O + x Ni(CH3COO)2\u00b74H2O + 0.75 O2 + 5 [OH-] ,1 LiNixMn2-xO4 + 12.5 H2O + 5 [CH3COO-]
1088,0.01 CaCO3 + 0.525 Li2CO3 + x MgO + 1.94-x MnO2 ,1 Li1.05Mn1.94-xMgxCa0.01O4 + 0.535 CO2 + 0.208-0.5*x O2
1089,1 FePO4 + 0.5 Li2CO3 ,1 LiFePO4 + 0.5 CO2 + 0.25 O2
1090,4 NH4PO3 + 1-x SiO2 + x TiO2 ,1 (NH4)2Si1-xTixP4O13 + 1 H2O + 2 NH3
1091,0.03 Co(CH3COO)2\u00b74H2O + 1.2 LiOH\u00b7H2O + 0.59 Mn(CH3COO)2\u00b74H2O + 0.18 Ni(CH3COO)2\u00b74H2O + 0.3 O2 + 1.6 [OH-] ,1 Li1.2Ni0.18Mn0.59Co0.03O2 + 5.8 H2O + 1.6 [CH3COO-]
1092,0.01 CaCO3 + 0.525 Li2CO3 + 0.09 MgO + 1.85-y MnO2 + y TiO2 ,1 Li1.05Mn1.85-yMg0.09TiyCa0.01O4 + 0.535 CO2 + 0.162 O2
1093,3.5 Ni + 4 Sn ,1 Ni3.5Sn4
1094,0.25 Al2O3 + 1.5 GeO2 + 0.8 Li2CO3 + 3 NH4H2PO4 ,1 0.8Li2O-0.25Al2O3-1.5GeO2-1.5P2O5 + 0.8 CO2 + 4.5 H2O + 3 NH3
1095,1 FeOOH + 1 LiOH\u00b7H2O ,1 LiFeO2 + 2 H2O
1096,1 LiOH\u00b7H2O + 0.667 Mn3O4 + 0.417 O2 ,1 LiMn2O4 + 1.5 H2O
1097,-0.333 C6H12O6 + 1 FeC2O4\u00b72H2O + 1 LiOH\u00b7H2O + 1 NH4H2PO4 ,1 LiFePO4 + 3 H2O + 1 NH3 + 1.5 O2
1098,0.667 Mn(CH3COO)2\u00b74H2O + 0.667 NaCH3COO\u00b72H2O + 0.333 Ni(CH3COO)2\u00b74H2O + 0.333 O2 + 2.667 [OH-] ,1 Na2/3(Ni1/3Mn2/3)O2 + 6.668 H2O + 2.667 [CH3COO-]
1099,1 LiOH\u00b7H2O + 1 Ni0.8Co0.1Mn0.1(OH)2 + 0.25 O2 ,1 LiNi0.8Co0.1Mn0.1O2 + 2.5 H2O
1100,1.5 Li2CO3 + 3 NH4H2PO4 + 2 NH4VO3 ,1 Li3V2(PO4)3 + 1.5 CO2 + 5.5 H2O + 5 NH3 + 1 O2
1101,0.5 Li2CO3 + x MgF2 + 0.667-0.333*x Mn3O4 + 0.417-0.333*x O2 ,1 LiMgxMn2-xO4-2xF2x + 0.5 CO2
1102,1 CH3COOLi\u00b72H2O + 1 FePO4 + 1 [OH-] ,1 LiFePO4 + 2.5 H2O + 0.25 O2 + 1 [CH3COO-]
1103,4 LiCH3COO + 5 TiO2 + 4 [OH-] ,1 Li4Ti5O12 + 2 H2O + 4 [CH3COO-]
1104,1 Li2CO3 + 1 TiO2 ,1 Li2TiO3 + 1 CO2
1105,2 BeO + 2 LiOH\u00b7H2O ,1 Li2Be2O3 + 3 H2O
1106,1.8 FeSO4 + 1.2 Na2SO4 ,1 Na2.4Fe1.8(SO4)3
1107,0.5 K2CO3 + 0.5 La2O3 + 1 Nb2O5 ,1 KLaNb2O7 + 0.5 CO2
1108,2 La(NO3)3 + 1 Ni(NO3)2 + 8 [OH-] ,1 La2NiO4 + 4 H2O + 8 [NO3-]
1109,0.2 Co(NO3)2 + 2 La(NO3)3 + 0.8 Ni(NO3)2 + 8 [OH-] ,1 La2Ni0.8Co0.2O4 + 4 H2O + 8 [NO3-]
1110,0.2 Fe(NO3)3 + 2 La(NO3)3 + 0.8 Ni(NO3)2 + 8.2 [OH-] ,1 La2Ni0.8Fe0.2O4 + 4.1 H2O + 0.05 O2 + 8.2 [NO3-]
1111,2 La(NO3)3 + 1 Ni(NO3)2 + 8 [OH-] ,1 La2NiO4 + 4 H2O + 8 [NO3-]
1112,0.2 Co(NO3)2 + 2 La(NO3)3 + 0.8 Ni(NO3)2 + 8 [OH-] ,1 La2Ni0.8Co0.2O4 + 4 H2O + 8 [NO3-]
1113,0.2 Fe(NO3)3 + 2 La(NO3)3 + 0.8 Ni(NO3)2 + 8.2 [OH-] ,1 La2Ni0.8Fe0.2O4 + 4.1 H2O + 0.05 O2 + 8.2 [NO3-]
1114,2 La(NO3)3 + 1 Ni(NO3)2 + 8 [OH-] ,1 La2NiO4 + 4 H2O + 8 [NO3-]
1115,0.2 Co(NO3)2 + 2 La(NO3)3 + 0.8 Ni(NO3)2 + 8 [OH-] ,1 La2Ni0.8Co0.2O4 + 4 H2O + 8 [NO3-]
1116,0.2 Fe(NO3)3 + 2 La(NO3)3 + 0.8 Ni(NO3)2 + 8.2 [OH-] ,1 La2Ni0.8Fe0.2O4 + 4.1 H2O + 0.05 O2 + 8.2 [NO3-]
1117,0.5 Ba(NO3)2 + 0.2 Cu(NO3)2 + 0.8 Fe(NO3)3 + 0.3 O2 + 0.5 Sr(NO3)2 + 4.8 [OH-] ,1 Ba0.5Sr0.5Fe0.8Cu0.2O3 + 2.4 H2O + 4.8 [NO3-]
1118,1 Ba(NO3)2 + 0.7 Ce(NO3)3 + 0.225 O2 + 0.2 Y(NO3)3 + 0.1 Zr(NO3)4 + 5.1 [OH-] ,1 BaZr0.1Ce0.7Y0.2O3 + 2.55 H2O + 5.1 [NO3-]
1119,0.05 Al + 0.9 Mg + 1 Ni + 0.1 Ti ,1 Mg0.9Ti0.1NiAl0.05
1120,0.05 Al + 0.9 Mg + 1 Ni + 0.1 Pd + 0.1 Ti ,1 Mg0.9Ti0.1NiAl0.05Pd0.1
1121,0.05 Al + 0.9 Mg + 1 Ni + 0.1 Ti ,1 Mg0.9Ti0.1NiAl0.05
1122,0.05 Al + 0.9 Mg + 1 Ni + 0.1 Pd + 0.1 Ti ,1 Mg0.9Ti0.1NiAl0.05Pd0.1
1123,1 AlH3 + 1 Mg(BH4)2 ,1 Mg(BH4)2AlH3
1124,5 Mo + 3 Si ,1 Mo5Si3
1125,1 Mo + 2 Si ,1 MoSi2
1126,0.5 Ba(NO3)2 + 0.2 Cu(NO3)2 + 0.8 Fe(NO3)3 + 0.3 O2 + 0.5 Sr(NO3)2 + 4.8 [OH-] ,1 Ba0.5Sr0.5Fe0.8Cu0.2O3 + 2.4 H2O + 4.8 [NO3-]
1127,1 Ba(NO3)2 + 0.7 Ce(NO3)3 + 0.225 O2 + 0.2 Y(NO3)3 + 0.1 Zr(NO3)4 + 5.1 [OH-] ,1 BaZr0.1Ce0.7Y0.2O3 + 2.55 H2O + 5.1 [NO3-]
1128,5 Mo + 3 Si ,1 Mo5Si3
1129,1 Mo + 2 Si ,1 MoSi2
1130,5 Mo + 3 Si ,1 Mo5Si3
1131,1 Mo + 2 Si ,1 MoSi2
1132,1 Ba(NO3)2 + 0.8-x Ce(NO3)3\u00b76H2O + 0.2 O2 + x Y(NO3)3\u00b76H2O + 0.2 ZrO(NO3)2\u00b72H2O + 4.8 [OH-] ,1 BaZr0.2Ce0.8-xYxO3 + 7.6 H2O + 4.8 [NO3-]
1133,5 Mo + 3 Si ,1 Mo5Si3
1134,1 Mo + 2 Si ,1 MoSi2
1135,1 Fe(NO3)3\u00b74H2O + 0.8-x La(NO3)3\u00b76H2O + 0.05 O2 + x Pr(NO3)3\u00b76H2O + 0.2 Sr(NO3)2 + 5.8 [OH-] ,1 La0.8-xPrxSr0.2FeO3 + 11.7 H2O + 5.8 [NO3-]
1136,1 V2O5 + 1 ZrO2 ,1 ZrV2O7
1137,0.5 Cs2CO3 + 1 V2O5 ,1 CsV2O5 + 0.5 CO2 + 0.25 O2
1138,3 Gd2O3 + 1 MoO3 ,"1 Gd6MoO12 ; target Gd6MoO12 with additives Yb, Er via Er2O3, Yb2O3 ; target Gd6MoO12 with additives Yb, Er via Er2O3, Yb2O3"
1139,1 Al2O3 + 1 MnO ,1 MnAl2O4
1140,3 CaCO3 + 2 NH4VO3 ,1 Ca3(VO4)2 + 3 CO2 + 1 H2O + 2 NH3
1141,1 Nb2O5 + 1 SrCO3 ,1 SrNb2O6 + 1 CO2
1142,7 Al2O3 + 12 CaCO3 ,1 12CaO-7Al2O3 + 12 CO2
1143,1-y CuO + y CuSO4 + 1-0.5*x La2O3 + x SrCO3 ,1 La2-xSrxCuO4Sy + x CO2 + -0.25*x+1.5*y O2
1144,3 H3BO3 + 3 Li2CO3 + 0.5 Lu2O3 ,1 Li6Lu(BO3)3 + 3 CO2 + 4.5 H2O ; target Li6Lu(BO3)3 with additives Ce via CeO2 ; target Li6Lu(BO3)3 with additives Ce via CeO2
1145,0.2 CeO2 + 3 H3BO3 + 3 Li2CO3 + 0.4 Lu2O3 ,1 Li6Ce0.2Lu0.8(BO3)3 + 3 CO2 + 4.5 H2O + 0.05 O2
1146,0.02 CeF3 + 1 LiF + 0.98*x LuF3 + 0.98-0.98*x YF3 ,1 Li((Y1-xLux)0.98Ce0.02)F4
1147,3 H3BO3 + 3 Li2CO3 + 0.5 Lu2O3 ,1 Li6Lu(BO3)3 + 3 CO2 + 4.5 H2O ; target Li6Lu(BO3)3 with additives Ce via CeO2 ; target Li6Lu(BO3)3 with additives Ce via CeO2
1148,0.2 CeO2 + 3 H3BO3 + 3 Li2CO3 + 0.4 Lu2O3 ,1 Li6Ce0.2Lu0.8(BO3)3 + 3 CO2 + 4.5 H2O + 0.05 O2
1149,1 NiWO4 + 2 SrCO3 ,1 Sr2NiWO6 + 2 CO2
1150,1 NiWO4 + 2 SrCO3 ,1 Sr2NiWO6 + 2 CO2
1151,2 Co(NO3)3 + 1 Cu + 0.5 O2 + 6 [OH-] ,1 CuCo2O4 + 3 H2O + 6 [NO3-]
1152,1 CH3COOLi\u00b72H2O + x Co(CH3COO)2\u00b74H2O + 1.5 Mn(CH3COO)2\u00b74H2O + 0.5-x Ni(CH3COO)2\u00b74H2O + 0.75 O2 + 5 [OH-] ,1 LiMn1.5Ni0.5-xCoxO4 + 12.5 H2O + 5 [CH3COO-]
1153,0.6 BaCO3 + 1 Nb2O5 + 0.4 SrCO3 ,1 Sr0.4Ba0.6Nb2O6 + 1 CO2
1154,1 Al2O3 + 1 TiO2 ,1 Al2TiO5
1155,0.45 Al2O3 + 0.9 CsNO3 + 2.1 SiO2 + 0.9 [OH-] ,1 Cs0.9Al0.9Si2.1O6 + 0.45 H2O + 0.9 [NO3-]
1156,0.45 CaO + 0.5*y Cr2O3 + 1-y MnO2 + 0.092 Pr6O11 ,1 (Pr0.55Ca0.45)(Mn1-yCry)O3 + 0.229-0.25*y O2
1157,1 Al2O3 + 1 C + 1 Ti ,1 Al2O3-TiC
1158,2*x CeO2 + 1-x Ga2O3 ,1 Ga2-2xMe2xO3 + 0.5*x O2; Me = Ce
1159,x Cr2O3 + 1-x Ga2O3 ,1 Ga2-2xMe2xO3; Me = Cr
1160,2*x CeO2 + 1-x Ga2O3 ,1 Ga2-2xMe2xO3 + 0.5*x O2; Me = Ce
1161,x Cr2O3 + 1-x Ga2O3 ,1 Ga2-2xMe2xO3; Me = Cr
1162,0.4 Co2O3 + 0.1 Fe2O3 + 0.3 La2O3 + 0.1 O2 + 0.4 SrCO3 ,1 La0.6Sr0.4Co0.8Fe0.2O3 + 0.4 CO2
1163,1 Al2O3 + 1 TiO2 ,1 Al2TiO5
1164,1 Al2O3 + 1 TiO2 ,1 Al2TiO5
1165,0.5 Ag2O + 0.5-0.5*x Nb2O5 + 0.5*x Ta2O5 ,1 AgNb1-xTaxO3
1166,0.375 Bi2O3 + 0.25 MgCO3 + 0.125 Na2CO3 + 0.75 TiO2 ,1 (Na1/4Bi3/4)(Mg1/4Ti3/4)O3 + 0.375 CO2
1167,0.375 Bi2O3 + 0.125 K2CO3 + 0.25 MgCO3 + 0.75 TiO2 ,1 (K1/4Bi3/4)(Mg1/4Ti3/4)O3 + 0.375 CO2
1168,0.375 Bi2O3 + 0.25 MgCO3 + 0.125 Na2CO3 + 0.75 TiO2 ,1 (Na1/4Bi3/4)(Mg1/4Ti3/4)O3 + 0.375 CO2
1169,0.375 Bi2O3 + 0.125 K2CO3 + 0.25 MgCO3 + 0.75 TiO2 ,1 (K1/4Bi3/4)(Mg1/4Ti3/4)O3 + 0.375 CO2
1170,0.2 Al2O3 + 1 CaCO3 + 0.8 MgCO3 + 1.8 SiO2 ,1 CaMg0.8Al0.4Si1.8O6 + 1.8 CO2
1171,0.25 Al2O3 + 1 CaCO3 + 0.75 MgCO3 + 1.75 SiO2 ,1 CaMg0.75Al0.5Si1.75O6 + 1.75 CO2
1172,0.3 Al2O3 + 1 CaCO3 + 0.7 MgCO3 + 1.7 SiO2 ,1 CaMg0.7Al0.6Si1.7O6 + 1.7 CO2
1173,0.35 Al2O3 + 1 CaCO3 + 0.65 MgCO3 + 1.65 SiO2 ,1 CaMg0.65Al0.7Si1.65O6 + 1.65 CO2
1174,0.2 Al2O3 + 1 CaCO3 + 0.8 MgCO3 + 1.8 SiO2 ,1 CaMg0.8Al0.4Si1.8O6 + 1.8 CO2
1175,0.25 Al2O3 + 1 CaCO3 + 0.75 MgCO3 + 1.75 SiO2 ,1 CaMg0.75Al0.5Si1.75O6 + 1.75 CO2
1176,0.3 Al2O3 + 1 CaCO3 + 0.7 MgCO3 + 1.7 SiO2 ,1 CaMg0.7Al0.6Si1.7O6 + 1.7 CO2
1177,0.35 Al2O3 + 1 CaCO3 + 0.65 MgCO3 + 1.65 SiO2 ,1 CaMg0.65Al0.7Si1.65O6 + 1.65 CO2
1178,19 Bi2O3 + 1 ZnO ,1 Bi38ZnO58
1179,0.2 Al2O3 + 1 CaCO3 + 0.8 MgCO3 + 1.8 SiO2 ,1 CaMg0.8Al0.4Si1.8O6 + 1.8 CO2
1180,0.25 Al2O3 + 1 CaCO3 + 0.75 MgCO3 + 1.75 SiO2 ,1 CaMg0.75Al0.5Si1.75O6 + 1.75 CO2
1181,0.3 Al2O3 + 1 CaCO3 + 0.7 MgCO3 + 1.7 SiO2 ,1 CaMg0.7Al0.6Si1.7O6 + 1.7 CO2
1182,0.35 Al2O3 + 1 CaCO3 + 0.65 MgCO3 + 1.65 SiO2 ,1 CaMg0.65Al0.7Si1.65O6 + 1.65 CO2
1183,0.2 Al2O3 + 1 CaCO3 + 0.8 MgCO3 + 1.8 SiO2 ,1 CaMg0.8Al0.4Si1.8O6 + 1.8 CO2
1184,0.25 Al2O3 + 1 CaCO3 + 0.75 MgCO3 + 1.75 SiO2 ,1 CaMg0.75Al0.5Si1.75O6 + 1.75 CO2
1185,0.3 Al2O3 + 1 CaCO3 + 0.7 MgCO3 + 1.7 SiO2 ,1 CaMg0.7Al0.6Si1.7O6 + 1.7 CO2
1186,0.35 Al2O3 + 1 CaCO3 + 0.65 MgCO3 + 1.65 SiO2 ,1 CaMg0.65Al0.7Si1.65O6 + 1.65 CO2
1187,0.25+0.25*x Bi2O3 + 0.5*x Fe2O3 + 0.25-0.25*x Na2CO3 + 1-x TiO2 ,1 (1-x)Na0.5Bi0.5TiO3-xBiFeO3 + 0.25-0.25*x CO2
1188,12.5 Bi2O3 + 0.5 Fe2O3 + 0.5 O2 ,1 Bi25FeO40
1189,0.25+0.25*x Bi2O3 + 0.5*x Fe2O3 + 0.25-0.25*x Na2CO3 + 1-x TiO2 ,1 (1-x)Na0.5Bi0.5TiO3-xBiFeO3 + 0.25-0.25*x CO2
1190,12.5 Bi2O3 + 0.5 Fe2O3 + 0.5 O2 ,1 Bi25FeO40
1191,9 AlN + 1 Si3N4 + 1 Y2O3 ,1 Si3N4-9AlN-Y2O3
1192,2 Al(OH)3\u00b70.949H2O + 3 CaCO3 ,1 Ca3Al2O6 + 3 CO2 + 4.898 H2O
1193,1 Mo + 2 Si ,1 MoSi2
1194,1 SrCO3 + 1 TiO2 ,1 SrTiO3 + 1 CO2
1195,1 Al + 2 CrC0.5 ,1 Cr2AlC
1196,1 Al + 1 C + 2 Cr ,1 Cr2AlC
1197,2.5 Al2O3 + 1.5 Y2O3 ,1 Y3Al5O12
1198,1 BaCO3 + 1 TiO2 ,1 BaTiO3 + 1 CO2
1199,1 AlOOH\u00b70.059H2O + 0.5 Cu2O ,1 CuAlO2 + 0.559 H2O
1200,4.9 La2O3 + 0.3 MgO + 5.7 SiO2 ,1 La9.8Si5.7Mg0.3O26.4
1201,1 LaSi + -1.75 Si + 1.25 Si3N4 ,1 LaSi3N5 ; target LaSi3N5 with additives Ce via CeO2 ; target LaSi3N5 with additives Ce via CeO2
1202,0.25 K2CO3 + 1 Li2CO3 + 0.25 Na2CO3 + 0.5 Nb2O5 + 0.5 O2 + 0.5 Sb2O3 + 0.5 Ta2O5 ,1 K0.5Na0.5NbO3-LiTaO3-LiSbO3 + 1.5 CO2
1203,0.22 K2CO3 + 0.02 Li2CO3 + 0.26 Na2CO3 + 0.43 Nb2O5 + 0.02 O2 + 0.02 Sb2O3 + 0.05 Ta2O5 ,1 (K0.44Na0.52Li0.04)(Nb0.86Ta0.1Sb0.04)O3 + 0.5 CO2
1204,0.25 K2CO3 + 1 Li2CO3 + 0.25 Na2CO3 + 0.5 Nb2O5 + 0.5 O2 + 0.5 Sb2O3 + 0.5 Ta2O5 ,1 K0.5Na0.5NbO3-LiTaO3-LiSbO3 + 1.5 CO2
1205,0.22 K2CO3 + 0.02 Li2CO3 + 0.26 Na2CO3 + 0.43 Nb2O5 + 0.02 O2 + 0.02 Sb2O3 + 0.05 Ta2O5 ,1 (K0.44Na0.52Li0.04)(Nb0.86Ta0.1Sb0.04)O3 + 0.5 CO2
1206,2 CaCO3 + 1 SiO2 ,1 Ca2SiO4 + 2 CO2
1207,1 Al2O3 + 1 SiO2 + 1 Y2O3 ,1 Y2O3-Al2O3-SiO2
1208,1 BaCO3 + 1 ZrO2 ,1 BaZrO3 + 1 CO2
1209,1 BaCO3 + 1 SnO2 ,1 BaSnO3 + 1 CO2
1210,2 BaCO3 + 1 SnO2 ,1 Ba2SnO4 + 2 CO2
1211,x Cu2P2O7 + 1-x ZrP2O7 ,1 Zr1-xCu2xP2O7
1212,1 BaCO3 + 1 SnO2 ,1 BaSnO3 + 1 CO2
1213,2 BaCO3 + 1 SnO2 ,1 Ba2SnO4 + 2 CO2
1214,0.333 Co3O4 + 0.5 La2O3 + 0.083 O2 ,1 LaCoO3
1215,1 Al2O3 + 1 MgO ,1 MgAl2O4
1216,1 Co(NO3)2\u00b76H2O + 1 La(NO3)3\u00b76H2O + 0.25 O2 + 5 [OH-] ,1 LaCoO3 + 14.5 H2O + 5 [NO3-]
1217,1 Ga2O3 + 1 MgO ,1 MgGa2O4 ; target MgGa2O4 with additives Mn via MnO ; target MgGa2O4 with additives Mn via MnO
1218,1 TiO2 + 1 ZnO ,1 TiO2-ZnO
1219,0.2 4MgCO3-Mg(OH)2\u00b75H2O + 2 SiO2 + 3 SrCO3 ,"1 Sr3MgSi2O8 + 3.8 CO2 + 1.2 H2O ; target Sr3MgSi2O8 with additives Eu, Dy via Dy2O3, Eu2O3 ; target Sr3MgSi2O8 with additives Eu, Dy via Dy2O3, Eu2O3"
1220,1 CaCO3 + 1 GeO2 + 1 Li2CO3 ,1 Li2CaGeO4 + 2 CO2
1221,3 Al(NO3)3\u00b79H2O + 0.5-0.5*x Gd2O3 + 4 H3BO3 + 0.25*x Tb4O7 + 9 [OH-] ,1 Gd1-xTbxAl3(BO3)4 + 37.5 H2O + 0.125*x O2 + 9 [NO3-]
1222,2 H3BO3 + 2-2*x MgO + 2*x MnO ,1 (Mg1-xMnx)2B2O5 + 3 H2O
1223,1 MgSO4 + 1 Na2SO4\u00b7H2O ,1 Na2Mg(SO4)2 + 1 H2O
1224,1 CaCO3 + 2 H3BO3 + 1 SiO2 ,"1 CaO-SiO2-B2O3 + 1 CO2 + 3 H2O ; target CaO-SiO2-B2O3 with additives Ce, Tb, Sm via CeO2, Sm2O3, Tb4O7 ; target CaO-SiO2-B2O3 with additives Ce, Tb, Sm via CeO2, Sm2O3, Tb4O7"
1225,1 Al2O3 + 1 MgO ,1 MgAl2O4
1226,1 Al2O3 + 1 Ni ,1 Al2O3-Ni
1227,x Bi2O3 + 6 H3BO3 + 4 ZnO ,1 4ZnO-3B2O3(-0.5Nd2O3)-x((Bi2O3)) + 9 H2O
1228,1 BaCO3 + 0.5*\u03b4 CoCO3 + 0.5 Fe2O3 + 0.1 MnO2 + 8.15-0.75*\u03b4 O2 + 0.5*\u03b4 TiO2 ,1 BaCo0.5\u03b4Ti0.5\u03b4Mn0.1Fe(11.87-\u03b4)O19 + 1+0.5*\u03b4 CO2
